species	superkingdom	phylum	class	order	family
micromonospora_marina	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
plantibacter_flavus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
trueperella_bonasi	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
murdochiella_asaccharolytica	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae
myxococcus_virescens	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae
saccharothrix_espanaensis	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
bifidobacterium_gallicum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
marinimicrobium_agarilyticum	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae
actinobacillus_hominis	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
maricaulis_parjimensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae
mycoplana_dimorpha	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae
pseudomonas_beteli	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
ulvibacter_antarcticus	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
citrobacter_youngae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
bifidobacterium_actinocoloniiforme	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
fervidobacterium_changbaicum	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae
porphyromonas_macacae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
polynucleobacter_difficilis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
pediococcus_ethanolidurans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
