species	superkingdom	phylum	class
anas_platyrhynchos	Eukaryota	Chordata	
streptomyces_sulfonofaciens	Bacteria	Actinobacteria	
pectobacterium_carotovorum	Bacteria	Proteobacteria	Gammaproteobacteria
streptococcus_ursoris	Bacteria	Firmicutes	
isoptericola_hypogeus	Bacteria	Actinobacteria	
thamnidium_elegans	Eukaryota	Mucoromycota	
myceligenerans_halotolerans	Bacteria	Actinobacteria	
hylocharis_cyanus	Eukaryota	Chordata	
caldalkalibacillus_uzonensis	Bacteria	Firmicutes	
octodontomys_gliroides	Eukaryota	Chordata	
opuntia_robusta	Eukaryota	Streptophyta	
nautilia_abyssi	Bacteria	Proteobacteria	Epsilonproteobacteria
gyromitra_esculenta	Eukaryota	Ascomycota	
rugosimonospora_acidiphila	Bacteria	Actinobacteria	
sulfurihydrogenibium_rodmanii	Bacteria	Aquificae	
actinoplanes_sichuanensis	Bacteria	Actinobacteria	
providencia_rettgeri	Bacteria	Proteobacteria	Gammaproteobacteria
knoellia_aerolata	Bacteria	Actinobacteria	
legionella_sainthelensi	Bacteria	Proteobacteria	Gammaproteobacteria
microbacterium_keratanolyticum	Bacteria	Actinobacteria	
vibrio_xuii	Bacteria	Proteobacteria	Gammaproteobacteria
smaragdicoccus_niigatensis	Bacteria	Actinobacteria	
legionella_parisiensis	Bacteria	Proteobacteria	Gammaproteobacteria
nevskia_ramosa	Bacteria	Proteobacteria	Gammaproteobacteria
thioalkalivibrio_thiocyanodenitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
moraxella_lacunata	Bacteria	Proteobacteria	Gammaproteobacteria
ferrimonas_futtsuensis	Bacteria	Proteobacteria	Gammaproteobacteria
phaeobacter_inhibens	Bacteria	Proteobacteria	Alphaproteobacteria
rhodopseudomonas_rhenobacensis	Bacteria	Proteobacteria	Alphaproteobacteria
streptococcus_pseudopneumoniae	Bacteria	Firmicutes	
brackiella_oedipodis	Bacteria	Proteobacteria	Betaproteobacteria
desulfatirhabdium_butyrativorans	Bacteria	Proteobacteria	Deltaproteobacteria
segetibacter_koreensis	Bacteria	Bacteroidetes	
debaryomyces_vanrijiae	Eukaryota	Ascomycota	
veillonella_rodentium	Bacteria	Firmicutes	
arthrobacter_arilaitensis	Bacteria	Actinobacteria	
saccopteryx_bilineata	Eukaryota	Chordata	
bacillus_thermocloacae	Bacteria	Firmicutes	
collinsella_intestinalis	Bacteria	Actinobacteria	
phascogale_tapoatafa	Eukaryota	Chordata	
paenibacillus_konsidensis	Bacteria	Firmicutes	
yersinia_aleksiciae	Bacteria	Proteobacteria	Gammaproteobacteria
riparia_riparia	Eukaryota	Chordata	
sphingobium_lactosutens	Bacteria	Proteobacteria	Alphaproteobacteria
capparis_spinosa	Eukaryota	Streptophyta	
thiohalomonas_nitratireducens	Bacteria	Proteobacteria	Gammaproteobacteria
pygoscelis_papua	Eukaryota	Chordata	
thermoanaerobacter_brockii	Bacteria	Firmicutes	
rothia_amarae	Bacteria	Actinobacteria	
halorubrum_distributum	Archaea	Euryarchaeota	
microbacterium_gelidium	Eukaryota		
